contract_id,churn_sn,duracao,ciclo,qtd_atendimentos,tme_recepcao_medio,tme_preconsulta_medio,tme_consulta_medio,tme_total_medio,tma_recepcao_medio,tma_preconsulta_medio,tma_consulta_medio,tma_posconsulta_medio,tm_total_medio,espera_senha_ate_consulta_medio,qtd_com_tme_rec,qtd_com_tme_pre,qtd_com_tme_con,qtd_com_stamps
46ab8970-2525-11f0-a0b6-31e10aaddeb6-1,N,12,1o,2,,,,0,,,,,,,0,0,0,2
46ac5740-69ed-11ef-b420-e5e924785564-1,N,12,1o,4,208,600,1427,1629,63,90,388,133,2055,1667,1,1,4,4
46acf2d0-f0f4-11ee-a845-25f700cc9307-2,N,12,2o+,8,308,11873,1362,3077,142,36,547,170,3736,3188,6,1,8,8
46ad12d0-2c9d-11ef-af2d-0df16ec15629-1,S,12,1o,12,367,261,1000,1301,136,88,416,137,1855,1439,7,4,12,12
46ad30b0-42d4-11ef-8e5d-7f74283a317d-1,S,12,1o,13,400,505,2229,2715,152,202,730,45,3637,2907,12,3,13,13
46ad31e0-aeb3-11f0-a21f-e1adece72ba1-1,S,6,1o,9,263,,701,847,121,,745,,1659,914,5,0,9,9
46ad5e60-61fa-11ef-9f73-69468a38c931-2,S,6,2o+,6,415,49,1014,1437,227,13,404,290,2069,1666,6,1,6,6
46ad67e0-8ca4-11f0-b517-6b8205220faa-1,N,6,1o,1,316,,1324,1640,90,,472,5,2202,1730,1,0,1,1
46ad74d0-683a-11f0-ac8e-d978ee3271e0-1,S,6,1o,22,465,,491,745,325,,447,232,1370,923,12,0,22,22
46ade150-3b48-11f0-a7ec-cb19c3cd62cd-1,S,6,1o,2,101,,576,626,145,,596,414,1295,699,1,0,2,2
46ae43c0-453e-11f0-bf0f-dd2e209489ab-1,S,6,1o,6,115,518,1428,1590,124,73,2108,191,3442,1686,4,1,6,6
46ae7b30-e9d1-11ed-b933-3304e0817108-3,S,12,2o+,5,58,,2056,2079,441,,423,815,2679,2256,2,0,5,5
46af32e0-0ff0-11f0-9741-01b25738b196-1,N,12,1o,10,,,6,1,,,401,,407,6,0,0,2,10
46af66b0-dcbb-11ef-9007-657ccad8b973-1,S,12,1o,3,158,136,1756,1959,92,11,255,13,2309,2054,3,1,3,3
46af8fd0-15c7-11ee-82d9-c5c4bbeb81da-2,S,12,2o+,1,,,5,5,,,361,,366,5,0,0,1,1
46b05640-0fee-11f0-84bb-f37d2d2dca61-1,S,12,1o,1,,,,0,,,1279,,1279,,0,0,0,1
46b11080-c02b-11ee-a345-536a85a8ce40-3,S,6,2o+,14,352,356,1773,2177,102,74,841,589,3125,2283,11,5,14,14
46b25700-d854-11ef-aeca-f9c9fb9f0961-1,S,6,1o,2,17,,117,126,128,,823,3,1012,190,1,0,2,2
46b34ff0-f9a5-11ed-b0ac-ef0337aa7e64-2,S,12,2o+,9,297,1350,2989,3852,174,184,476,175,4565,4089,8,4,9,9
46b38000-98a5-11f0-a077-07de2501c6e0-1,S,6,1o,2,,,8,8,,,676,,684,8,0,0,2,2
46b38c20-b8c7-11f0-8b2c-1d8cd75eff7f-1,N,6,1o,3,579,115,92,554,257,190,975,,1827,852,2,2,3,3
46b41f90-dd95-11ef-a01e-9da942417879-1,N,12,1o,18,680,,352,541,96,,540,5,1108,568,5,0,18,18
46b52e20-c0fa-11ee-9fdb-27f05e28ce63-3,S,6,2o+,7,,,,0,,,,,,,0,0,0,7
46b5f470-33f1-11f0-b245-bf906b9ac171-1,S,6,1o,12,647,164,1956,2468,125,103,1083,281,3662,2579,9,2,12,12
46b63620-0633-11ef-a989-970fa9ac53d4-2,S,12,2o+,1,30,256,1907,2193,77,157,809,,3236,2427,1,1,1,1
46b6b8a0-8fc3-11f0-932c-d9ec11995b1e-1,S,6,1o,6,153,,965,1118,114,,292,90,1524,1232,6,0,6,6
46b7d9b0-16cf-11ef-9888-e7781f567af7-3,N,6,2o+,2,145,,1437,1509,79,,293,5,1881,1588,1,0,2,2
46b9c900-50b8-11ef-be1c-51346784cebb-1,S,12,1o,9,166,,208,157,96,,331,,582,251,1,0,6,9
46ba37d0-afe7-11ef-91dc-d3206a02f474-1,S,12,1o,1,163,476,526,1165,190,,772,,1651,879,1,1,1,1
46bb34b0-44e8-11ef-85f5-31d5f23017ba-1,N,12,1o,12,445,172,2010,2387,93,33,965,240,3430,2465,9,3,12,12
46bbc660-782c-11ef-9131-e700dd98f0de-1,N,12,1o,15,264,1039,1674,2005,126,313,1014,205,3046,2137,7,3,15,15
46bbe500-5e23-11ef-b161-bb5b330ec09a-1,N,12,1o,2,66,79,861,1005,93,39,519,151,1655,1136,2,2,2,2
46bc0280-041b-11f0-bfdb-39943c734ca7-1,S,12,1o,7,377,293,1542,2128,120,446,884,93,3451,2567,7,5,7,7
46bc1da0-abf7-11ef-a25c-494fe47cc526-2,N,6,2o+,2,447,,978,1425,208,,265,214,1898,1633,2,0,2,2
46bcbbb0-7606-11ef-9328-d75a090b7968-2,N,6,2o+,6,238,,365,484,110,,309,,847,539,3,0,6,6
46bcbbb0-7606-11ef-9328-d75a090b7968-3,N,6,2o+,2,,,8,8,,,384,,392,8,0,0,2,2
46bd1160-f9fe-11ef-a61b-11eeb653d185-1,N,6,1o,4,50,295,1676,1874,134,84,1727,264,3776,2049,4,2,4,4
46bd1160-f9fe-11ef-a61b-11eeb653d185-2,S,6,2o+,2,45,,1193,1215,28,,2544,35,3773,1229,1,0,2,2
46bd5f40-acd6-11f0-968c-b9bc74187132-1,N,6,1o,4,62,881,586,853,142,136,822,,1816,993,3,1,4,4
46bf1510-1609-11f0-a727-094a8bcd8b1d-1,S,12,1o,3,173,203,2542,2783,102,79,300,140,3211,2911,3,1,3,3
46c03670-0777-11f0-9e4a-ff7622106fa2-1,S,6,1o,2,469,1134,1282,2318,134,80,906,222,3398,2492,2,1,2,2
46c06210-3f88-11ef-8a72-c717d152547f-1,S,12,1o,6,409,781,876,1279,172,269,680,450,2176,1496,4,1,6,6
46c273f0-ae79-11f0-8fd0-31e9010f47b8-1,S,6,1o,2,952,,3098,3574,282,,212,,3927,3715,1,0,2,2
46c2d8b0-1ab6-11f0-9c97-89c3a3127d02-1,N,6,1o,4,,,,0,,,,,,,0,0,0,4
46c2e510-37c8-11f0-bcb6-69c3ea5adde1-1,N,6,1o,6,167,66,2446,2596,241,95,613,759,3425,2813,5,1,6,6
46c2ed90-de4e-11ef-924a-f78f23319cc5-1,S,12,1o,2,,,6,3,,,492,,498,670,0,0,1,2
46c38d80-d5c1-11ef-8ee8-1f863305a275-1,N,12,1o,15,102,673,1650,1897,63,127,532,131,2506,1973,10,4,15,15
46c3be50-5c39-11f0-a955-b5c824c849b1-1,N,6,1o,2,560,,150,635,290,,1038,,3418,1000,2,0,1,2
46c51260-5b7f-11f0-94ac-fbef2c4bead8-1,S,6,1o,3,,,8,8,,,638,,646,8,0,0,3,3
46c59690-8673-11ef-8c20-e5eeb4bfe458-1,S,12,1o,26,314,503,4010,3941,273,105,785,119,5038,4708,23,6,23,26
46c5e7a0-4049-11ef-b88a-bdb401b754e9-2,N,6,2o+,10,299,603,158,276,107,241,1146,8,1561,415,3,1,8,10
46c5e7a0-4049-11ef-b88a-bdb401b754e9-3,N,6,2o+,8,22,,688,433,59,,555,75,1259,704,1,0,5,8
46c72000-6135-11ee-a028-732fa63afc3a-2,S,12,2o+,17,351,179,1625,1819,105,180,582,182,2622,2040,13,2,16,17
46c7ea50-ac97-11ee-914f-397229a5e824-4,S,6,2o+,4,474,586,934,1582,109,165,272,45,2017,1746,3,2,4,4
46c86a10-4dba-11ef-9e2c-69161fac4fec-2,S,6,2o+,1,120,,3503,3623,77,,560,,4260,3700,1,0,1,1
46c88020-0ea2-11ee-b934-a9f13cbccf29-2,N,12,2o+,2,299,621,898,1508,60,162,637,,2285,1649,2,1,2,2
46c8a7c0-2f80-11f0-8750-df49245a4595-1,S,6,1o,18,300,573,1922,2298,82,300,452,257,2892,2440,13,5,18,18
46c8b080-3980-11f0-bcdc-fb411d7c0007-1,S,6,1o,4,,,141,106,164,,227,253,423,196,0,0,3,4
46c99870-bd34-11ee-bda4-45619fa1d167-2,N,12,2o+,1,243,63,2725,3031,64,56,655,,3806,3151,1,1,1,1
46cbcbe0-ebaf-11ef-94fd-61c7777e73e1-1,S,6,1o,3,449,284,1464,1858,82,68,651,391,2586,1935,2,1,3,3
46cbfb90-895a-11ef-8889-115791935980-1,S,12,1o,1,986,,453,1439,47,,525,105,2011,1486,1,0,1,1
46cc9c00-8e8e-11f0-81ca-d1775ded8579-1,N,6,1o,2,75,,863,938,154,,588,51,1680,1092,2,0,2,2
46cd10a0-7826-11f0-b502-59f650a2b0b8-1,N,6,1o,5,300,248,2156,2496,209,18,462,189,3132,2670,4,2,5,5
46cd3e10-5a89-11ef-b783-0525abe1cb77-1,S,12,1o,12,94,,637,61,56,,3963,5,4750,787,1,0,1,12
46cd7f20-d37d-11ef-a402-2793f35666e1-1,S,12,1o,5,158,469,1751,2033,148,215,631,64,2863,2232,3,2,5,5
46ce29e0-f109-11ee-aad6-15ea462c76b6-3,N,6,2o+,11,179,708,1254,1545,110,57,441,11,2066,1666,10,2,11,11
46ce29e0-f109-11ee-aad6-15ea462c76b6-4,S,6,2o+,3,116,,3418,3495,105,,453,51,4018,3565,2,0,3,3
46cec6c0-8a83-11ef-9420-a18add39173c-1,S,12,1o,12,344,303,1367,1726,100,131,482,264,2286,1844,9,4,12,12
46cf7840-afb4-11ee-b02e-a3b32510f544-3,S,6,2o+,5,135,262,262,237,28,296,667,51,1170,503,1,1,3,5
46cfe4e0-448a-11ef-a860-35903da06a96-1,S,12,1o,2,406,,2952,3358,220,,705,192,4282,3577,2,0,2,2
46d09300-803d-11f0-ab12-83dbc69a0de5-1,S,6,1o,1,31,,211,242,97,,371,132,710,339,1,0,1,1
46d1b660-a699-11ee-bcac-594dfd664e90-2,S,12,2o+,3,,,4246,1415,96,,833,180,4881,4048,0,0,1,3
46d1b740-3557-11ee-9fa3-2b32bf9d6753-4,S,6,2o+,1,,,6,6,,,548,,554,6,0,0,1,1
46d1caa0-3cd5-11f0-b688-47867812e005-1,S,6,1o,4,77,43,2611,2680,176,91,185,71,3063,2879,3,1,4,4
46d24760-80fa-11ef-a777-5bd4ba1036bc-1,S,12,1o,7,262,,538,571,99,,408,75,1157,749,5,0,5,7
46d25940-ab3d-11ef-a699-23878cd1ce9a-1,S,12,1o,5,442,,3247,3512,131,,1569,651,5160,3591,3,0,5,5
46d29490-152e-11f0-9fba-f59062e876a4-1,S,12,1o,5,288,26,1550,1728,121,142,161,338,2014,1853,3,1,5,5
46d38070-8fb6-11ee-9740-33bb89540bd0-2,N,12,2o+,12,192,627,2425,3018,99,406,591,754,3971,3380,11,8,12,12
46d3bda0-3d5d-11f0-ac20-e7a4e2e7d2b1-1,N,6,1o,5,109,,1360,1447,105,,192,,1744,1552,4,0,5,5
46d421d0-eb16-11ef-94cb-a1bf7b1881b6-1,N,12,1o,7,478,367,1397,1591,115,252,328,110,2037,1994,5,1,6,7
46d46df0-876c-11f0-82b1-f1f1f92b2ece-1,N,6,1o,7,25,,509,305,157,,997,201,1438,691,4,0,4,7
46d4fd60-4635-11f0-9cde-4d6d6566569e-1,S,6,1o,1,137,,3961,4098,73,,3450,,7621,4171,1,0,1,1
46d50a80-0715-11f0-8c98-9d46f6ccdb75-1,S,6,1o,5,169,307,2261,2614,366,376,576,15,3782,3206,5,3,5,5
46d52a60-9907-11ee-b111-c7111a1cefbf-2,S,12,2o+,11,133,250,1260,1438,130,114,379,6,1968,1589,11,2,11,11
46d5d9e0-fe7a-11ef-90c1-a94640ebd267-1,S,12,1o,8,366,457,1560,1181,70,131,301,175,2312,2011,2,2,5,8
46d5ffd0-5eeb-11ef-9ff7-c97a0a1b90d4-1,S,12,1o,3,454,,3032,3184,45,,1330,,4539,3209,1,0,3,3
46d771d0-5dab-11ef-9977-a5adb6ed307c-1,N,12,1o,2,81,,3087,3168,153,,637,,3957,3321,2,0,2,2
46d77f70-66e4-11f0-a5ed-e58b6bce4202-1,N,6,1o,5,369,,1042,1189,121,,1337,140,2623,1286,2,0,5,5
46d79110-d83a-11ef-a731-bd7c410a3ea3-1,N,6,1o,3,207,,1484,1690,90,,653,154,2433,1780,3,0,3,3
46d79110-d83a-11ef-a731-bd7c410a3ea3-2,N,6,2o+,2,142,,447,589,120,,491,293,1199,709,2,0,2,2
46d8c260-fd01-11ef-8abd-b1e431e201b2-1,S,6,1o,5,,,6,1,,,473,,479,6,0,0,1,5
46d8f300-e4a3-11ef-820c-85424db7f601-1,N,6,1o,4,26,512,589,858,51,89,934,28,1862,928,2,2,4,4
46d8f300-e4a3-11ef-820c-85424db7f601-2,N,6,2o+,3,231,417,818,838,69,212,1445,,2877,1432,2,1,2,3
46d906f0-d856-11ef-87bb-9d4668da2038-1,N,12,1o,3,684,,2660,2457,68,,1436,660,3961,2525,3,0,2,3
46d99010-4aa4-11ef-aaaa-f53350a54903-3,N,6,2o+,2,606,466,1807,2646,152,154,747,435,3621,2874,2,1,2,2
46da42d0-2b81-11f0-aafc-6dc52125c891-1,S,6,1o,6,199,347,713,909,229,302,633,1083,1975,1458,6,2,5,6
46da4ee0-b080-11f0-b2c6-ffadc9b1ba92-1,S,6,1o,1,120,,1162,1282,74,,541,10,1897,1356,1,0,1,1
46da7480-f9ea-11ef-8db7-03320e5061e9-1,N,6,1o,7,527,184,1274,1756,87,110,676,124,2569,1893,5,4,7,7
46da7e60-a802-11ef-a4c2-df7ffcad9f82-1,N,12,1o,4,530,408,1469,1836,118,225,498,387,2447,1949,2,1,4,4
46db8020-ee1c-11ef-bfb9-35dfd5c47ec3-1,S,12,1o,9,645,594,1723,2285,107,142,302,230,2701,2400,6,2,9,9
46dbf070-164c-11f0-b08c-039cdfaa3c48-1,N,6,1o,1,119,130,2351,2600,94,126,1217,4,4037,2820,1,1,1,1
46dd35c0-243e-11f0-926f-fbc74933b8d3-1,S,12,1o,4,259,,991,1055,103,,516,,1597,1081,1,0,4,4
46dd78c0-8c70-11ef-8e05-af66308ffec1-1,N,12,1o,4,75,83,2019,2115,2035,132,677,145,4859,4182,4,1,4,4
46dd9a40-805c-11f0-a501-29cc29c5ccd6-1,S,6,1o,5,261,,615,824,53,,499,3,1364,866,4,0,5,5
46dd9a60-98fd-11ee-82f5-b77e5d10c357-2,S,12,2o+,11,763,182,1331,1833,132,232,711,150,2649,1938,7,1,11,11
46ddeff0-ac17-11ef-8ad6-8b54585dfa21-2,S,6,2o+,8,,,,0,,,,,,,0,0,0,8
46ddf190-1723-11f0-b9f5-938d02a768a4-1,S,12,1o,10,,,9,2,,,674,,682,9,0,0,2,10
46deedc0-9c7f-11f0-a2d6-fb16daec7f1d-1,N,6,1o,17,463,469,1147,1610,186,30,258,44,2000,1787,16,1,17,17
46df6bc0-be25-11f0-acd0-6555bfc66bb4-1,S,6,1o,3,605,,2807,3210,81,,379,1890,3643,3264,2,0,3,3
46e0c800-9899-11f0-affb-71705664b1b6-1,N,6,1o,4,124,1220,1162,1561,328,1011,591,39,2650,2059,3,1,4,4
46e0f790-7423-11ee-af00-73b9b469de9c-2,S,12,2o+,9,345,748,2213,2724,120,252,438,488,3338,2900,9,2,9,9
46e15120-473e-11ee-8437-7da76b4b757c-4,S,6,2o+,1,1273,,509,1782,62,,810,8,2654,1844,1,0,1,1
46e1cad0-7c3c-11f0-a0c0-f78652666530-1,S,6,1o,2,474,,3786,4260,51,,937,4,5247,4310,2,0,2,2
46e3a4d0-2111-11f0-b89a-031959bd3db8-1,N,12,1o,6,408,,2033,2441,233,,824,207,3497,2673,6,0,6,6
46e3bed0-a0ff-11ef-a22b-0b1222bd9435-1,N,12,1o,6,297,129,1660,1879,246,124,501,478,2601,2100,4,1,6,6
46e40050-382b-11ed-88e2-5d84c2a0ad39-6,S,6,2o+,8,319,,3155,2645,207,,260,83,3671,3682,7,0,6,8
46e4b570-2cc4-11ee-adee-0129cfacdc76-2,N,12,2o+,1,100,,203,303,184,,825,315,1312,487,1,0,1,1
46e533b0-954a-11f0-b51c-53a186ad0e30-1,S,6,1o,1,18,,3254,3272,326,,289,,3887,3598,1,0,1,1
46e585f0-4a58-11f0-91cd-1360701d4dbe-1,N,6,1o,15,1487,,1407,1340,175,,816,373,3224,2408,5,0,9,15
46e5c610-a27d-11ef-a432-dd4f10b96503-2,S,6,2o+,6,160,12,712,794,267,149,771,38,1768,997,3,1,6,6
46e6b900-6c85-11ee-9153-557f8423167a-2,N,12,2o+,3,408,,1697,2104,68,,412,39,2585,2172,3,0,3,3
46e73950-1f87-11f0-a01a-09ca84ec5c82-1,S,6,1o,4,173,533,1090,1353,324,120,408,624,2033,1625,3,1,4,4
46e8f930-e87e-11ed-b0ed-77830bf12bb2-3,S,12,2o+,1,22,,1258,1280,56,,398,165,1734,1336,1,0,1,1
46e991f0-2798-11f0-af02-bbba953f5faa-1,S,12,1o,7,93,,1088,1141,71,,549,,1652,1181,4,0,7,7
46ea3c50-9cbe-11ef-a04c-4d123d307db0-1,S,12,1o,5,489,271,1418,1864,108,77,423,84,2388,1965,4,1,5,5
46ea4e30-f082-11ef-badc-4fd63c8114db-1,S,12,1o,2,432,829,170,1016,77,122,208,132,1361,1154,2,1,2,2
46ea6800-b6bf-11ee-bae2-63b73f359133-2,N,12,2o+,1,112,1395,2457,3964,46,172,174,,4356,4182,1,1,1,1
46eac3a0-1964-11f0-bf1a-796530dac28b-1,N,6,1o,2,643,,1155,1798,97,,1624,,3519,1895,2,0,2,2
46eac3a0-1964-11f0-bf1a-796530dac28b-2,N,6,2o+,3,869,,593,882,176,,1355,,2296,941,1,0,3,3
46eba850-6663-11f0-ab81-15cb8ab86934-1,S,6,1o,1,90,503,3550,4143,192,118,960,99,5413,4453,1,1,1,1
46ecaa90-2981-11ef-b567-fffa24fc9def-2,N,6,2o+,11,915,222,1016,1722,139,78,1001,232,2850,1849,8,2,11,11
46ecaa90-2981-11ef-b567-fffa24fc9def-3,N,6,2o+,10,312,179,467,641,159,41,379,110,1103,724,5,1,10,10
46ecd970-7c06-11ef-a01a-71207124d20c-1,S,12,1o,7,176,278,1086,1276,63,141,606,166,1957,1351,6,1,7,7
46ecf660-b40b-11f0-b3aa-197022f94a98-1,N,6,1o,4,387,388,742,1421,137,625,936,94,2962,2026,4,3,4,4
46ecf880-79ed-11ef-adfa-152685af90d5-1,S,12,1o,14,741,1098,1801,2566,156,226,651,238,3383,2732,10,3,14,14
46eed620-9b28-11f0-a106-0f673aad674d-1,S,6,1o,1,78,706,1878,2662,83,47,551,,3343,2792,1,1,1,1
46eee520-69af-11f0-91e6-75a770ca1e96-1,S,6,1o,8,188,,1473,1638,117,,462,306,2203,1741,7,0,8,8
46ef79c0-b0c5-11ef-a1ab-4b2319137124-1,S,12,1o,2,477,,936,1175,65,,369,,1576,1207,1,0,2,2
46f18da0-d127-11ef-954c-f30832238442-1,S,6,1o,1,,,5,5,,,455,,460,5,0,0,1,1
46f1f620-40a1-11f0-bebf-e3c5abdf2683-1,N,6,1o,1,229,117,1653,1999,111,244,1118,54,3472,2354,1,1,1,1
46f20a40-25d3-11f0-b13c-87bd553d7259-1,N,6,1o,12,405,197,1938,2342,127,319,418,256,2895,2512,11,2,12,12
46f241d0-ae5c-11ee-add2-a5de066fb88d-2,N,12,2o+,5,47,160,1484,338,93,71,945,,2800,1855,1,1,1,5
46f2cc70-81bb-11f0-994b-7b3c2235c2c0-1,S,6,1o,2,65,,1213,1245,94,,731,213,2023,1292,1,0,2,2
46f412d0-5b99-11f0-a29a-1129782d434d-1,N,6,1o,24,,,7,6,,,1045,16,1052,7,0,0,23,24
46f5ea40-ea1c-11ef-adbe-8fbca02bccb4-1,S,6,1o,1,1738,903,622,3263,74,110,415,,3862,3447,1,1,1,1
46f6d3f0-3bc6-11f0-a3f6-575a86f440d9-1,S,6,1o,11,147,232,2207,2412,177,119,954,73,3554,2600,9,4,11,11
46f79a10-1470-11f0-9212-7fd58bef402c-1,N,6,1o,11,466,303,688,947,116,117,488,107,1635,1147,5,4,10,11
46f79a10-1470-11f0-9212-7fd58bef402c-2,N,6,2o+,2,,,11,11,,,204,,214,11,0,0,2,2
46f7a970-ab73-11f0-abe9-452d6760ac33-1,N,6,1o,1,460,,603,1063,82,,887,159,2032,1145,1,0,1,1
46f80dd0-064f-11f0-bb2f-815f7d01ac61-1,N,6,1o,5,73,145,514,601,57,100,258,127,925,666,4,1,5,5
46f870c0-2771-11f0-8239-51c0b4c443bf-1,S,12,1o,7,72,,474,515,97,,912,78,1482,570,4,0,7,7
46f8b320-6941-11f0-b773-551097229cc9-1,N,6,1o,4,60,,3442,2626,476,,1542,50,4707,3919,3,0,3,4
46f9b4e0-10aa-11f0-b22c-f9fa19eeeab0-1,S,12,1o,4,238,,1243,1362,75,,526,284,1945,1418,2,0,4,4
46f9d960-794c-11f0-8a66-8f6a063aa8f4-1,S,6,1o,2,233,1586,2404,3430,160,58,274,,3892,3619,2,1,2,2
46fa0ff0-10df-11f0-a908-550beef9741c-1,S,6,1o,5,58,355,1348,1547,282,9,535,46,2368,1833,5,2,5,5
46fb1430-e557-11ef-b2c5-9f9a080bfccc-1,S,12,1o,2,148,,2581,2729,106,,1458,4,4293,2835,2,0,2,2
46fbc840-f541-11ef-930e-d95f8241cfba-1,S,12,1o,3,43,,3087,1057,97,,6155,,7838,1683,2,0,1,3
46fc17c0-a978-11ee-8e25-f1de487a4ac4-2,N,12,2o+,4,148,,1242,1316,228,,385,,1858,1473,2,0,4,4
46fcdec0-3d2b-11ef-8630-9ba5f85749bc-1,S,12,1o,13,301,685,1895,2010,80,1181,353,138,2696,2343,9,1,12,13
46fe7500-eba0-11ee-a851-17d9c21a2a5b-2,N,12,2o+,6,292,180,1023,1386,397,105,530,248,2317,1787,5,4,6,6
46fec240-ab5b-11f0-9976-1f8663e9c16f-1,S,6,1o,20,300,327,1566,1931,150,541,857,170,3008,2151,20,4,20,20
46ff91e0-b7c1-11ef-8f0b-8be28f8ff0c6-1,N,6,1o,1,402,,4098,4500,177,,394,,5071,4677,1,0,1,1
46ffe1b0-506c-11f0-97b2-b117c5c896a2-1,S,6,1o,3,100,,670,736,62,,1148,93,1925,777,2,0,3,3
46ffe7a0-d6dc-11ef-9521-db0eed6dee1e-1,N,6,1o,1,83,,480,563,88,,400,12,1051,651,1,0,1,1
46fffe20-3fbf-11ef-bf7f-91a4a25a2353-1,S,12,1o,1,,,7,7,,,363,,370,7,0,0,1,1
46fffe60-ea06-11ef-a58f-5f86390c9d52-1,S,6,1o,6,1120,189,1715,2587,99,266,1001,149,3831,2830,4,4,6,6
47002f80-a478-11ef-88fb-7181bd007581-1,N,12,1o,3,,,6,4,,,322,,328,6,0,0,2,3
47009c80-917c-11f0-be18-ddb8a322b711-1,N,6,1o,1,141,,678,819,53,,181,3,1053,872,1,0,1,1
4701cad0-36be-11ee-a21e-43cf8fb160df-2,N,12,2o+,2,646,468,1016,1896,141,91,564,,2646,2082,2,1,2,2
4702d300-aa7f-11ee-9019-056e61fa7ebd-2,N,12,2o+,2,174,461,1625,2029,98,229,741,210,2982,2242,2,1,2,2
47040320-4afd-11ed-8088-61c55cc5fd8d-6,N,6,2o+,4,245,409,381,647,59,102,1161,278,1873,712,1,2,4,4
47040320-4afd-11ed-8088-61c55cc5fd8d-7,S,6,2o+,4,167,,152,194,33,,753,304,955,202,1,0,4,4
470433d0-7637-11ed-8b0d-cb27f9570dbc-3,N,12,2o+,2,116,663,2512,2959,73,76,786,,3855,3069,2,1,2,2
4704cca0-29bd-11f0-9021-8bf9c4d79198-1,N,12,1o,3,279,194,1603,1947,109,142,173,376,2276,2103,3,1,3,3
47051290-06b7-11ed-abaf-3f707e150a2e-6,S,6,2o+,10,549,240,2048,2693,191,107,477,86,3404,2927,10,4,10,10
47052030-c9d5-11ef-aa28-bd455ee58457-1,N,12,1o,1,357,,621,978,72,,433,,1483,1050,1,0,1,1
470607a0-259f-11ef-bbc4-772da249b74a-3,S,6,2o+,2,470,,586,821,294,,584,40,1698,1114,1,0,2,2
4706fcf0-3278-11f0-a848-8df2d1494b6a-1,S,6,1o,3,85,,1116,1172,91,,127,,1360,1233,2,0,3,3
47091fe0-bc84-11ef-875a-39d6a41d75d0-1,N,6,1o,1,133,,1189,1322,94,,491,5,1907,1416,1,0,1,1
470a4400-2cb2-11ee-bf1f-83e578c002e5-2,N,12,2o+,1,105,316,660,1081,37,34,2690,11,3842,1152,1,1,1,1
470c3270-6841-11f0-8803-df806b285197-1,N,6,1o,6,653,627,727,1153,143,288,468,247,1765,1297,2,2,6,6
470cd8b0-2a71-11ef-bf01-a53d0dd3a908-1,S,12,1o,1,641,248,2688,3577,74,25,1011,53,4687,3676,1,1,1,1
470cfb60-5645-11ef-9468-65f6c38715a4-1,S,12,1o,5,110,,401,445,85,,435,3,914,479,2,0,5,5
470d5b90-831e-11ef-8985-477ecf3c1023-2,N,6,2o+,12,318,111,1937,2247,95,124,570,107,2924,2354,11,2,12,12
470d5b90-831e-11ef-8985-477ecf3c1023-3,N,6,2o+,8,497,,1046,1544,151,,633,200,2328,1695,8,0,8,8
470dc9c0-d3fc-11ef-8c3f-e16ac585af11-1,S,12,1o,3,673,758,1584,2763,160,145,585,,3603,3019,3,2,3,3
4710d940-5e17-11ef-a625-69b43d62a521-1,N,12,1o,7,352,218,2639,3015,223,123,833,404,4141,3308,5,4,7,7
47112380-29cf-11f0-bf94-7d4c78a47008-1,N,6,1o,3,47,,1056,1087,133,,314,120,1490,1176,2,0,3,3
47114060-3ad6-11ef-988b-87cc37676a8f-1,S,12,1o,5,542,345,1987,2450,87,170,826,234,3423,2597,3,2,5,5
47114300-29ad-11f0-9e16-f5dcfeeed6bb-1,S,12,1o,5,629,,1304,1933,1558,,376,,3868,3491,5,0,5,5
47114a70-833b-11f0-86f9-91a00d788955-1,S,6,1o,6,771,,2481,2710,110,,374,205,3216,3131,5,0,5,6
47122190-81e1-11ef-9a59-7bc9a1e8bf37-1,S,12,1o,8,3705,281,4577,7890,240,280,618,6,8787,8170,7,2,8,8
4713e950-9a81-11ee-8314-3914e3166f4d-3,N,6,2o+,1,45,,1404,1449,78,,862,,2389,1527,1,0,1,1
4713e950-9a81-11ee-8314-3914e3166f4d-4,N,6,2o+,2,224,,2440,2664,70,,864,6,3598,2734,2,0,2,2
47143490-4b53-11ef-bdb9-e144b85a5b0f-2,S,6,2o+,3,,,6,2,,,366,,372,6,0,0,1,3
47144c20-4854-11ef-b317-33352591ede8-1,S,12,1o,5,222,571,2001,2203,114,37,467,68,2746,2279,2,1,5,5
47147df0-dfd8-11ef-a183-179d2a2b86be-1,S,12,1o,16,,,7,7,,,1383,,1390,7,0,0,16,16
4714f530-16cc-11ef-832b-c586006dc78b-3,S,6,2o+,8,247,880,2092,2559,64,272,520,203,3210,2690,8,2,8,8
4714f6d0-16c5-11f0-b8a4-7bdb024197c6-1,S,12,1o,8,145,720,1509,1923,195,133,261,280,2428,2168,8,3,8,8
47150cd0-b161-11ee-981b-15a55bcaae31-3,N,6,2o+,1,,,6,6,,,463,,469,6,0,0,1,1
471520e0-ae02-11f0-9705-692ef8d43848-1,N,6,1o,4,301,414,1250,1579,61,68,302,323,1944,1642,3,1,4,4
471607d0-6f23-11f0-a66f-69106579e3c4-1,N,6,1o,1,218,,198,416,90,,739,7,1245,506,1,0,1,1
47167050-a5c4-11ee-8002-57329cb49c2d-2,N,12,2o+,5,,,,0,,,,,,,0,0,0,5
4716e9e0-6dbb-11ee-891e-9faea368f903-4,N,6,2o+,1,,,,0,,,,,,,0,0,0,1
47177f60-b006-11f0-8f7a-dbc344feee06-1,S,6,1o,6,315,,876,1045,138,,500,651,1967,1391,6,0,5,6
